romaji|ja|en|es|tier|cat
ageku|あげく|to end up; in the end; after all|al final (tras mucho esfuerzo), acabó por…|3|resultado
aruiwa|あるいは|or; either; maybe; perhaps|o; o bien; tal vez|1|conectores
bakari|ばかり|about, approximately|más o menos; aproximadamente|1|grado
bakari da|ばかりだ|continue to (go in negative direction)|no hace más que… (ir a peor)|3|estado_cambio
bakari ka|ばかりか|not only... but also; as well as|no sólo… sino además|2|adicion
bakari ni|ばかりに|simply because; on account of (negative result)|sólo por…; nada más que por… (mal resultado)|3|causa
chinamini|ちなみに|by the way; incidentally|por cierto; a propósito|1|conectores
chitto mo~nai|ちっとも～ない|(not) at all; (not) in the least|nada en absoluto; ni un poco|1|grado
dake atte|だけあって|being the case; precisely because; as expected from|como era de esperar de…; no en vano|3|causa
dake mashi da|だけましだ|it's better than; one should feel grateful for|menos mal que…; ya es algo que…|4|comparacion
dake ni|だけに|being the case; precisely because; as one would expect|precisamente porque…; justo por eso|3|causa
dake no koto wa aru|だけのことはある|no wonder; as expected of|con razón…; no en vano es…|4|causa
dake wa|だけは|to do all that one can|al menos…; hacer todo lo posible en cuanto a…|4|enfasis
datte|だって|because; but; after all; even|es que…; pero; incluso|2|causa
de shika nai|でしかない|merely; nothing but; no more than|no es más que…; no pasa de ser…|4|grado_limite
dokoro dewa nai|どころではない|not the time for; far from; anything but|no está uno para…; ni mucho menos|3|contraste
dokoro ka|どころか|far from; anything but; let alone; much less|lejos de…; ni hablar de…; al contrario|3|contraste
dou yara|どうやら|possibly; apparently; seems like; barely|al parecer; por lo visto; a duras penas|2|modal
douse|どうせ|anyhow; in any case; after all; no matter what|de todos modos; total, que…|2|conectores
enai|得ない（えない）|unable to; cannot; it is not possible to|no poder…; ser imposible…|3|posibilidad
eru / uru|得る（える / うる）|can; to be able to; is possible to|poder…; ser posible…|3|posibilidad
futatabi|再び（ふたたび）|again; once more|de nuevo; otra vez|1|tiempo
fuu ni|ふうに|this way; that way; in such a way|de este modo; de tal manera|2|modo
ga kikkake de / o kikkake ni|がきっかけで / をきっかけに|with… as a start; as a result of|a raíz de…; tomando… como punto de partida|3|causa
ge|げ|looks like; seems like; appears to|con aire de…; con pinta de…|2|modal
gyaku ni|逆に（ぎゃくに）|conversely; on the contrary|al contrario; a la inversa|1|conectores
hanmen|反面（はんめん）|while, although; on the other hand|por un lado… por otro; en cambio|3|contraste
hatashite|果たして（はたして）|as was expected; sure enough; really|efectivamente; tal como se esperaba; ¿de verdad…?|3|modal
ichiou|一応（いちおう）|more or less; roughly; tentatively|por el momento; más o menos; en principio|1|conectores
igai|以外（いがい）|with the exception of; excepting|salvo…; excepto…; aparte de…|1|grado_limite
ijou ni|以上に（いじょうに）|more than; not less than; beyond|más que…; por encima de…|2|comparacion
ijou wa|以上は（いじょうは）|because; since; seeing that|ya que…; puesto que… (y por tanto)|3|causa
ikinari|いきなり|abruptly; suddenly; without warning|de repente; sin previo aviso|1|tiempo
ikki ni|一気に（いっきに）|in one go; all at once; immediately|de un tirón; de una sola vez|1|tiempo
ippou de|一方で（いっぽうで）|on one hand, on the other hand; although|por una parte… por otra|2|contraste
iwayuru|いわゆる|what is called; the so-called|lo que se llama…; el llamado…|2|conectores
iyoiyo|いよいよ|at last; finally; beyond doubt|por fin; ya mismo; definitivamente|1|tiempo
jou|上（じょう）|from the standpoint of; in terms of|desde el punto de vista de…; en cuanto a…|3|punto_vista
ka no you ni|かのように|as if; just like|como si…|3|comparacion
ka to omottara|かと思ったら（かとおもったら）|just when; no sooner than|justo cuando…; apenas… cuando…|3|tiempo
ka~nai ka no uchi ni|か～ないかのうちに|just as; right after; as soon as|nada más…; en cuanto…|4|tiempo
kaette|かえって|on the contrary; rather; all the more|al contrario; más bien; peor aún|2|contraste
kagiri|限り（かぎり）|as long as; as far as; while… is the case|mientras…; en la medida en que…; hasta donde…|3|grado_limite
kai ga aru|甲斐がある（かいがある）|it's worth one's efforts to do something|valer la pena el esfuerzo|4|resultado
kanenai|かねない|(someone) might do something; something might happen|es capaz de…; podría llegar a… (algo malo)|3|posibilidad
kaneru|かねる|unable to do something; can't do something|no poder…; serle a uno difícil… (cortés)|3|posibilidad
kara iu to|から言うと（からいうと）|in terms of; from the point of view of|desde el punto de vista de…; en términos de…|3|punto_vista
kara koso|からこそ|precisely because|precisamente porque…|3|causa
kara miru to|から見ると（からみると）|from the point of view of; judging from|a juzgar por…; visto desde…|3|punto_vista
kara niwa|からには|now that; since; so long as; because|ya que…; una vez que… (entonces hay que…)|3|causa
kara shite|からして|judging from; based on; even|a juzgar por…; ya sólo con…; empezando por…|4|punto_vista
kara suru to / kara sureba|からすると / からすれば|judging from; considering|a juzgar por…; considerando…|3|punto_vista
kara to itte|からと言って（からといって）|just because; even if; even though|por el hecho de que… no quiere decir que…|3|contraste
kkonai|っこない|no chance of; is definitely not possible|no hay manera de que…; ni de broma|3|posibilidad
koto da|ことだ|should do (suggestions or advice)|hay que…; lo que conviene es…|2|obligacion
koto dakara|ことだから|because; since|como se trata de… (y ya sabemos cómo es)|3|causa
koto ka|ことか|how…!; what…!|¡qué…!; ¡cuánto…!|3|enfasis
koto naku|ことなく|without doing something even once|sin llegar a…; sin ni una vez…|3|modo
koto ni|ことに|emphasize speaker's feelings; to my (surprise)|para mi… (sorpresa, alegría)|3|enfasis
koto niwa naranai|ことにはならない|just because… doesn't mean|eso no significa que…|4|contraste
kuse shite|くせして|although; despite the fact that|a pesar de que… (con reproche)|3|contraste
madashimo|まだしも|rather; better|todavía pase que…; menos mal si…|4|comparacion
mai|まい|will not; will probably not; intend not to|no pienso…; seguramente no…|4|modal
mama ni|ままに|as, to do as|tal como…; a merced de…|3|modo
mattaku~nai|全く～ない（まったく～ない）|not at all|en absoluto; para nada|1|grado
mo kamawazu|もかまわず|without caring; without worrying about|sin importarle…; haciendo caso omiso de…|3|modo
mo touzen da|も当然だ（もとうぜんだ）|it's only natural; no wonder|es lógico que…; con razón…|3|modal
mono / mon|もの / もん|because; indicates reason/excuse/dissatisfaction|es que…; ¡pero si…! (excusa)|2|causa
mono da|ものだ|describe feeling; express memories; state fact|solía…; ¡cómo…!; es cosa de…|2|modal
mono dakara|ものだから|so; therefore; the reason for something|como…; es que… (por eso)|3|causa
mono dewa nai|ものではない|shouldn't do something; it's impossible to|no se debe…; no es cosa de…|3|obligacion
mono ga aru|ものがある|there is such a thing; to be the case that; feels like|tiene algo de…; hay en ello un…|4|enfasis
mono ka / mon ka|ものか / もんか|as if…!; there's no way|¡ni hablar!; ¡cómo va a…!|4|enfasis
mono nara|ものなら|if I/we could; if [A] is possible, then [B]|si (por milagro) pudiera…|4|condicion
monono|ものの|but; although; even though|aunque…; si bien…|3|contraste
motto mo|もっとも|but then; although; though|eso sí; aunque bien es cierto que…|2|contraste
mou sukoshi de|もう少しで（もうすこしで）|almost; nearly, close to|por poco…; casi…|1|grado
nai dewa irarenai|ないではいられない|can't help but feel; can't help but do|no poder evitar…; no aguantar sin…|4|modal
nai koto niwa~nai|ないことには～ない|unless you|si no…, no…; a menos que…|4|condicion
naka o / naka dewa|中を / 中では（なかを / なかでは）|in; in the midst of; when; while|en medio de…; mientras…|2|tiempo
