# escritura	id  —  ids de las palabras importadas de las listas JLPT.
#
# Este fichero existe porque los ids importados salían de un contador y
# cambiaban en cuanto cambiaba qué se importa. Y como las unidades y las
# correcciones van POR ID, una palabra podía quedarse con la ficha de otra
# (102817 pasó de よろしく a 塵 al retocar una glosa inglesa).
#
# Es de sólo añadir: una línea que ya está no se toca nunca.
escritura	id
現像	100000
原則	100001
見地	100002
現地	100003
限定	100004
原点	100005
原典	100006
原爆	100007
原文	100008
厳密	100009
賢明	100010
倹約	100011
原油	100012
兼用	100013
権力	100014
言論	100015
故～	100016
語彙	100017
恋する	100018
甲	100019
好意	100021
行為	100022
合意	100023
工学	100024
抗議	100025
合議	100026
皇居	100027
好況	100028
鉱業	100029
興業	100030
高原	100031
交互	100032
煌々と	100033
考古学	100034
工作	100035
耕作	100036
鉱山	100037
講習	100038
口述	100039
控除	100040
交渉	100041
高尚	100042
向上	100043
行進	100044
香辛料	100045
降水	100046
洪水	100047
合成	100048
公然	100049
抗争	100050
構想	100051
後退	100052
光沢	100053
公団	100054
好調	100055
口頭	100056
講読	100057
購読	100058
購入	100059
公認	100060
光熱費	100061
購買	100062
好評	100063
交付	100064
公募	100065
巧妙	100066
公用	100067
小売	100068
効率	100069
公立	100070
護衛	100071
コーナー	100072
小柄	100073
小切手	100074
国産	100075
国定	100076
告白	100077
国防	100078
国有	100079
極楽	100080
国連	100081
焦げ茶	100082
語源	100083
心地	100084
心得	100085
心掛け	100086
心掛ける	100087
志	100088
志す	100089
心強い	100090
心細い	100091
試み	100092
試みる	100093
快い	100094
誤差	100095
ございます (かん)	100096
孤児	100097
こじれる	100098
こす (みずを～)	100099
梢	100100
個性	100101
戸籍	100102
古代	100103
こたつ	100104
こだわる	100105
誇張	100106
こつ (をつかむ)	100107
滑稽	100108
国交	100109
骨董品	100110
固定	100111
事柄	100112
孤独	100113
ことごとく	100114
言付け	100115
殊に	100116
粉々	100117
好ましい	100118
碁盤	100119
個別	100120
ごまかす	100121
細やか	100122
コマーシャル	100123
込める	100124
コメント	100125
籠もる	100126
固有	100127
暦	100128
凝らす	100129
ごらんなさい (かん)	100130
孤立	100131
懲りる	100132
凝る	100133
根気	100134
根拠	100135
混血	100136
コンタクト (レンズ)	100137
昆虫	100138
根底	100139
混同	100140
コントラスト	100141
コントロール	100142
コンパス	100143
根本	100144
財	100145
再会	100146
災害	100147
細菌	100148
細工	100149
採掘	100150
サイクル	100151
採決	100152
再建	100153
再現	100154
財源	100155
在庫	100156
採算	100157
サイズ	100158
再生	100159
財政	100160
最善	100161
採択	100162
栽培	100163
再発	100164
細胞	100165
採用	100166
遮る	100167
さえずる	100168
冴える	100169
竿	100170
栄える	100171
差額	100172
～杯	100173
逆立ち	100174
さきに (いぜん)	100175
詐欺	100176
削減	100177
錯誤	100178
作戦	100179
叫び	100180
捧げる	100181
差し掛かる	100182
指図	100183
差し出す	100184
差し支える	100185
授ける	100186
摩する	100187
さぞ (さぞや。さぞかし)	100188
定まる	100189
定める	100190
座談会	100191
雑	100192
雑貨	100193
殺人	100194
察する	100195
雑談	100196
さっと	100197
さっぱりする	100198
悟る	100199
座標	100200
さほど	100201
サボる	100202
寒気	100203
侍	100204
さも	100205
作用	100206
さらう (こどもを～)	100207
障る	100208
酸	100209
山岳	100210
参議院	100211
産休	100212
サンキュー	100213
残金	100214
産後	100215
残酷	100216
産出	100217
参照	100218
参上	100219
残高	100220
サンタクロース	100221
桟橋	100222
賛美	100223
山腹	100224
産婦人科	100225
産物	100226
山脈	100227
仕上がり	100228
仕上	100229
仕上げる	100230
飼育	100231
強いて	100232
シート	100233
ジーパン	100234
仕入れる	100235
強いる	100236
潮	100237
歯科	100238
自我	100239
自覚	100240
仕掛	100241
仕掛ける	100242
しかしながら	100243
色彩	100244
式場	100245
しきたり	100246
事業	100247
軽蔑	100248
経歴	100249
経路	100250
けがらわしい	100251
劇団	100252
激励	100253
ゲスト	100254
獣	100255
決	100256
決意	100257
結核	100258
決議	100259
結合	100260
決算	100261
月謝	100262
決勝	100263
結晶	100264
結成	100265
結束	100266
げっそり	100267
決断	100268
月賦	100269
欠乏	100270
蹴飛ばす	100271
けなす	100272
煙たい	100273
煙る	100274
家来	100275
下痢	100276
権威	100277
兼業	100278
原形	100279
原型	100280
権限	100281
現行	100282
健在	100283
原作	100284
検事	100285
原子	100286
元首	100287
原書	100288
懸賞	100289
健全	100290
元素	100291
同調	100292
到底	100293
動的	100294
尊い	100295
同等	100297
堂々	100298
尊ぶ	100299
どうにか	100300
投入	100301
導入	100302
当人	100303
同封	100304
逃亡	100305
冬眠	100306
同盟	100307
どうやら	100308
動力	100309
登録	100310
討論	100311
遠ざかる	100312
遠回り	100313
トーン	100314
とかく	100315
とがめる	100316
時折	100317
とぎれる	100318
研ぐ	100319
特技	100320
独裁	100321
特産	100322
独自	100323
特集	100324
独占	100325
独創	100326
得点	100327
特派	100328
特有	100329
とげ (をさす)	100330
遂げる	100331
～どころか	100332
年頃	100333
戸締り	100334
途上	100335
土台	100336
途絶える	100337
特許	100338
特権	100339
とっさに	100340
突如	100341
とって	100342
突破	100343
土手	100344
届	100345
滞る	100346
整える	100347
唱える	100348
殿様	100349
土俵	100350
扉	100351
溝	100352
徒歩	100353
土木	100354
とぼける	100355
乏しい	100356
富	100357
富む	100358
共稼ぎ	100359
伴う	100360
共働き	100361
ドライ	100362
ドライクリーニング	100363
ドライバー	100364
ドライブイン	100365
トラブル	100366
トランジスター	100367
とりあえず	100368
取扱	100369
取り扱う	100370
鳥居	100371
取り替え	100372
取り組む	100373
取締り	100374
取り締まる	100375
取り調べる	100376
取り立てる	100377
取り次ぐ	100378
取り付ける	100379
取り除く	100380
取引	100381
取り巻く	100382
取り混ぜる	100383
取り戻す	100384
取り寄せる	100385
ドリル	100386
とろける	100387
鈍感	100388
とんだ	100389
度忘れ	100390
問屋	100391
内閣	100392
乃至	100393
内緒	100394
内心	100395
内蔵	100396
ナイター	100397
内部	100398
内乱	100399
内陸	100400
苗	100401
なおさら	100402
流し	100403
長々	100404
中程	100405
渚	100406
嘆く	100407
投げ出す	100408
仲人	100409
和やか	100410
名残	100411
情け	100412
情無い	100413
情深い	100414
詰る	100415
名高い	100416
雪崩	100417
懐く	100418
名付ける	100419
何気ない	100420
なにとぞ	100421
なにより	100422
ナプキン	100423
名札	100424
生臭い	100425
生温い	100426
生身	100427
鉛	100428
滑らか	100429
嘗める	100430
悩ましい	100431
悩ます	100432
悩み	100433
並びに	100434
成り立つ	100435
なるたけ	100436
慣れ	100437
馴々しい	100438
～なんか	100439
ナンセンス	100440
何だか	100441
なんだかんだ	100442
なんなり	100443
荷	100444
似通う	100445
にきび	100446
賑わう	100447
憎しみ	100448
肉親	100449
肉体	100450
逃げ出す	100451
西日	100452
滲む	100453
にせ物	100454
日夜	100455
荷造り	100456
担う	100457
鈍る	100458
にも関わらず	100459
ニュアンス	100460
ニュー	100461
入手	100462
入賞	100463
入浴	100464
尿	100465
認識	100466
妊娠	100467
任務	100468
任命	100469
抜かす	100470
抜け出す	100471
主	100472
沼	100473
音色	100474
値打ち	100475
ネガ	100476
寝かせる	100477
ねじまわし	100478
捩れる	100479
妬む	100480
ねだる	100481
熱意	100482
熱湯	100483
熱量	100484
粘り	100485
粘る	100486
値引き	100487
根回し	100488
眠たい	100489
練る	100490
念	100491
年賀	100492
念願	100493
年号	100494
燃焼	100495
年長	100496
燃料	100497
年輪	100498
ノイローゼ	100499
農耕	100500
農場	100501
農地	100502
納入	100503
逃す	100504
逃れる	100505
軒並	100506
望ましい	100507
乗っ取る	100508
のどか	100509
罵る	100510
延べ	100511
飲み込む	100512
乗り込む	100513
刃	100514
～派	100515
バー	100516
把握	100517
パート	100518
廃棄	100519
配給	100520
ばい菌	100521
配偶者	100522
拝啓	100523
背景	100524
背後	100525
廃止	100526
拝借	100527
排除	100528
賠償	100529
排水	100530
敗戦	100531
配置	100532
配布	100533
配分	100534
敗北	100535
倍率	100536
配慮	100537
配列	100538
破壊	100539
いたわる	100540
一概に	100541
著しい	100542
一同	100543
一部分	100544
一別	100545
一面	100546
一目	100547
一様	100548
一律	100549
一連	100550
一括	100551
一気	100552
一挙に	100553
一見	100554
一切	100555
一心	100556
いっそ	100557
一変	100558
意図	100559
営む	100560
挑む	100561
稲光	100562
祈り	100563
いびき	100564
今更	100565
移民	100566
嫌々	100567
卑しい	100568
いやに	100569
いやらしい	100570
意欲	100571
威力	100572
衣類	100573
異論	100574
印鑑	100575
陰気	100576
隠居	100577
インターチェンジ	100578
インターナショナル	100579
インターフォン	100580
インテリ	100581
インフォメーション	100582
インフレ	100583
受かる	100584
受け入れ	100585
受け入れる	100586
受け継ぐ	100587
受け付ける	100588
受け止める	100589
受身	100590
受持ち	100591
動き	100592
嘘つき	100593
うたた寝	100594
打ち明ける	100595
打ち切る	100596
打ち消し	100597
打ち込む	100598
団扇	100599
内訳	100600
写し	100601
訴え	100602
うっとうしい	100603
うつむく	100604
空ろ	100605
腕前	100606
雨天	100607
促す	100608
うぬぼれ	100609
生まれつき	100610
埋め込む	100611
梅干し	100612
裏返し	100613
売り出し	100614
売り出す	100615
潤う	100616
浮気	100617
上回る	100618
植わる	100619
運営	100620
うんざり	100621
運送	100622
運賃	100623
云々	100624
運搬	100625
運命	100626
運輸	100627
運用	100628
エアメール	100629
～営	100630
英字	100631
映写	100632
映像	100633
英雄	100634
液	100635
閲覧	100636
獲物	100637
襟	100638
エレガント	100639
円滑	100640
縁側	100641
沿岸	100642
婉曲	100643
演出	100644
エンジニア	100645
演じる	100646
